Course,Credits,Name
PE 1167,1,Tango
ENGRI 1101,3,Engr Applications of ORIE
MATH 1910,4,Calculus For Engineers
ENGRG 1050,1,Engineering Seminar
CHEM 2090,4,Engineering General Chemistry
ENGRG 1009,1,AEW Collab Workshop: CHEM 2090
ECON 1110,3,Intro Microeconomics
CS 1112,4,Intro Computing Using MATLAB
PE 1390,1,Women's Self Defense
MATH 1920,4,Multivariable Calculus Engrs
PHYS 1112,4,Physics I: Mechanics & Heat
ROMS 1102,3,FWS: The Craft of Storytelling
CS 1110,4,Intro Computing Using Python
AEM 2400,3,Marketing
ENGRD 2700,3,Basic Engr Probability & Stats
MATH 2940,4,Linear Algebra for Engineers
PHYS 2213,4,Physics II: Electromagnetism
MAE 4900,1,Individ/Group Projects in M.E.
HD 1170,3,Humn Dev:Adolescence/Youth
ENGRD 2700,3,Basic Engr Probability & Stats
ORIE 3120,4,Pract Tools for OR & Mach Lrng
MATH 2930,4,Differential Equations Engrs
MAE 4900,3,Individ/Group Projects in M.E.
PHYS 2214,4,Phys III-Osc Waves & Quan Phys
ENGRC 3350,3,Comm for Engineering Managers
STS 1101,3,"Sci, Tech and Politics"
ORIE 3150,4,Financial & Managerial Accting
ORIE 3300,4,Optimization I
ORIE 3500,4,Engr Probability & Stats II
MAE 4900,3,Individ/Group Projects in M.E.
CS 2110,3,Obj-Oriented Prog & Data Struc
MAE 4900,3,Individ/Group Projects in M.E.
ORIE 3510,4,Intr to Engr Stochastic Proc I
AMST 2001,1,The First American University
ORIE 3310,4,Optimization II
AEM 4380,1.5,Entrepren'l Strategy for Tech
AEM 4390,1.5,Technology Strategy
DSOC 1101,3,Introduction to Sociology
INFO 2950,4,Introduction to Data Science
ORIE 4330,4,Discrete Models
ORIE 4100,4,Manufacturing Systems Design
ORIE 4580,4,Simulation Modeling & Analysis
MAE 4900,3,Individ/Group Projects in M.E.
COMM 2450,3,Communication and Technology
HADM 2250,3,Finance
ORIE 4820,3,Sprdsht-Basd Mdl&Data Analysis
INFO 2750,3,Robot Ethics
ORIE 4126,4,Principles of Supply Chain Mgt
VIEN 1104,3,Introduction to Wines & Vines
AEM 4660,1.5,Business Simulation
