Course,Requirement,Substitutes,Additional Requirement
MATH 1910,MATH 1910,,
MATH 1920,MATH 1920,,
MATH 2930,MATH 2930,"CS 2800, MATH 3040",
MATH 2940,MATH 2940,,
CHEM 2090,CHEM 2090,CHEM 2150,
PHYS 1112,PHYS 1112,PHYS 1116,
PHYS 1110,PHYS 1110,,
PHYS 2213,PHYS 2213,PHYS 2217,
PHYS 2214,PHYS 2214,"CHEM 2080, CHEM 2150, MATH 2930, CS 2800, MATH 3040, MATH 3110, MATH 3360",
CS 1112,CS 1110,CS 1112,
ENGRI 1101,ENGRI 1,,
ENGRD 2700,ENGRD 2700,,
ENGRD 2110,ENGRD 2110,ENGRD,CS 2110
ROMS 1102,FWS,,
ROMS 1102,FWS,,
ENGRC 3350,ENGRC,,
ECON 1110,Liberal Studies,,
HD 1170,Liberal Studies,,
STS 1101,Liberal Studies,,
DSOC 1101,Liberal Studies,,
COMM 2450,Liberal Studies,,
INFO 2750,Liberal Studies,,
ORIE 3120,ORIE 3120,,
ORIE 3150,ORIE 3150,"MATH 3110, MATH 4130, MATH 4310, MATH 4330, ORIE 6",
ORIE 3300,ORIE 3300,,
ORIE 3310,ORIE 3310,,
ORIE 3500,ORIE 3500,,
ORIE 3510,ORIE 3510,,
ORIE 4580,ORIE 4580,,
ORIE 4330,ORIE Elective,,
ORIE 4100,ORIE Elective,,
ORIE 4820,ORIE Elective,,
AEM 4380,Major Approved Non ORIE,,
AEM 4390,Major Approved Non ORIE,,
MAE 4900,Major Approved,,
INFO 2950,Major Approved,,
PE 1167,PE,,
PE 1390,PE,,
